Name                                 Type      File
Dhb_code                             ValueSet  valuesets\Dhb_code.fsh
Domicile_code                        ValueSet  valuesets\Domicile_code.fsh
Gender                               ValueSet  valuesets\Gender.fsh
Hpi-country-code-iso-3166-1          Instance  instances\Hpi-country-code-iso-3166-1.fsh
Hpi-practitioner-role                Instance  instances\Hpi-practitioner-role.fsh
Hpi_ContactPointSystem               ValueSet  valuesets\Hpi_ContactPointSystem.fsh
Hpi_ContactPointUse                  ValueSet  valuesets\Hpi_ContactPointUse.fsh
Hpi_HumanNameUse                     ValueSet  valuesets\Hpi_HumanNameUse.fsh
Hpi_IdentfierUse                     ValueSet  valuesets\Hpi_IdentfierUse.fsh
Hpi_additional_authorisation         ValueSet  valuesets\Hpi_additional_authorisation.fsh
Hpi_contact_type                     ValueSet  valuesets\Hpi_contact_type.fsh
Hpi_contact_usage                    ValueSet  valuesets\Hpi_contact_usage.fsh
Hpi_disestablishment_reason          ValueSet  valuesets\Hpi_disestablishment_reason.fsh
Hpi_disestablishment_reason_10       ValueSet  valuesets\Hpi_disestablishment_reason_10.fsh
Hpi_ethnicity                        ValueSet  valuesets\Hpi_ethnicity.fsh
Hpi_ethnicity_lvl_2                  ValueSet  valuesets\Hpi_ethnicity_lvl_2.fsh
Hpi_ethnicity_lvl_3                  ValueSet  valuesets\Hpi_ethnicity_lvl_3.fsh
Hpi_facility_address_purpose         ValueSet  valuesets\Hpi_facility_address_purpose.fsh
Hpi_facility_address_type            ValueSet  valuesets\Hpi_facility_address_type.fsh
Hpi_facility_name_qualifier          ValueSet  valuesets\Hpi_facility_name_qualifier.fsh
Hpi_facility_type                    ValueSet  valuesets\Hpi_facility_type.fsh
Hpi_language_code_iso_639_3          ValueSet  valuesets\Hpi_language_code_iso_639_3.fsh
Hpi_legacy_language_code             ValueSet  valuesets\Hpi_legacy_language_code.fsh
Hpi_legacy_name_type                 ValueSet  valuesets\Hpi_legacy_name_type.fsh
Hpi_legal_entity_type                ValueSet  valuesets\Hpi_legal_entity_type.fsh
Hpi_legal_entity_type_10             ValueSet  valuesets\Hpi_legal_entity_type_10.fsh
Hpi_location_address_use             ValueSet  valuesets\Hpi_location_address_use.fsh
Hpi_location_alias_type              ValueSet  valuesets\Hpi_location_alias_type.fsh
Hpi_location_type                    ValueSet  valuesets\Hpi_location_type.fsh
Hpi_name_prefix                      ValueSet  valuesets\Hpi_name_prefix.fsh
Hpi_name_prefix_10                   ValueSet  valuesets\Hpi_name_prefix_10.fsh
Hpi_nzscc4n99                        ValueSet  valuesets\Hpi_nzscc4n99.fsh
Hpi_organisation_address_purpose     ValueSet  valuesets\Hpi_organisation_address_purpose.fsh
Hpi_organisation_address_type        ValueSet  valuesets\Hpi_organisation_address_type.fsh
Hpi_organisation_address_use         ValueSet  valuesets\Hpi_organisation_address_use.fsh
Hpi_organisation_name_qualifier      ValueSet  valuesets\Hpi_organisation_name_qualifier.fsh
Hpi_organisation_type                ValueSet  valuesets\Hpi_organisation_type.fsh
Hpi_organisation_type_10             ValueSet  valuesets\Hpi_organisation_type_10.fsh
Hpi_organization_alias_type          ValueSet  valuesets\Hpi_organization_alias_type.fsh
Hpi_practitioner_role_status_reason  ValueSet  valuesets\Hpi_practitioner_role_status_reason.fsh
Hpi_registration_status              ValueSet  valuesets\Hpi_registration_status.fsh
Hpi_registration_status_legacy       ValueSet  valuesets\Hpi_registration_status_legacy.fsh
Hpi_registration_type                ValueSet  valuesets\Hpi_registration_type.fsh
Hpi_registration_type_legacy         ValueSet  valuesets\Hpi_registration_type_legacy.fsh
Hpi_scope_of_practice                ValueSet  valuesets\Hpi_scope_of_practice.fsh
Nhi_address_not_validated_reason     ValueSet  valuesets\Nhi_address_not_validated_reason.fsh
Nhi_address_type                     ValueSet  valuesets\Nhi_address_type.fsh
Nhi_citizenship_source               ValueSet  valuesets\Nhi_citizenship_source.fsh
Nhi_citizenship_status               ValueSet  valuesets\Nhi_citizenship_status.fsh
Nhi_country_of_birth_source          ValueSet  valuesets\Nhi_country_of_birth_source.fsh
Nhi_date_of_birth_source             ValueSet  valuesets\Nhi_date_of_birth_source.fsh
Nhi_date_of_death_source             ValueSet  valuesets\Nhi_date_of_death_source.fsh
Nhi_name_source                      ValueSet  valuesets\Nhi_name_source.fsh
Nhi_residency_source                 ValueSet  valuesets\Nhi_residency_source.fsh
